"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"VOPROSY EKONOMIKI|ВОПРОСЫ ЭКОНОМИКИ"	"0042-8736"	"ENG|RUS"
"VOPROSY JAZYKOZNANIJA|ВОПРОСЫ ЯЗЫКОЗНАНИЯ"	"0373-658X"	"RUS"
"VOSTOK (ORIENS)|ВОСТОК. АФРО - АЗИАТСКИЕ ОБЩЕСТВА: ИСТОРИЯ И СОВРЕМЕННОСТЬ"	"2713-0401|0869-1908"	"ENG|RUS"
"ВРАЧ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"	"1811-0193"	"RUS"
"ВСЕ МАТЕРИАЛЫ. ЭНЦИКЛОПЕДИЧЕСКИЙ СПРАВОЧНИК"	"1994-6260"	"RUS"
"ВСЕ О МЯСЕ"	"2071-2499"	"RUS"
"RUSSIAN JOURNAL OF CRIMINOLOGY|ВСЕРОССИЙСКИЙ КРИМИНОЛОГИЧЕСКИЙ ЖУРНАЛ"	"2500-4255|2500-1442"	"RUS|ENG"
"ВУЛКАНОЛОГИЯ И СЕЙСМОЛОГИЯ"	"0203-0306"	"RUS"
"ВЫСОКОМОЛЕКУЛЯРНЫЕ СОЕДИНЕНИЯ. СЕРИЯ А"	"2308-1120|2412-9844"	"RUS"
"ВЫСОКОМОЛЕКУЛЯРНЫЕ СОЕДИНЕНИЯ. СЕРИЯ Б"	"2308-1139|2412-9852"	"RUS"
"ВЫСОКОМОЛЕКУЛЯРНЫЕ СОЕДИНЕНИЯ. СЕРИЯ С"	"2308-1147|2412-9860"	"RUS"
"VYSSHEE OBRAZOVANIE V ROSSII|ВЫСШЕЕ ОБРАЗОВАНИЕ В РОССИИ"	"0869-3617|2072-0459"	"RUS"
"COMPUTATIONAL CONTINUUM MECHANICS|ВЫЧИСЛИТЕЛЬНАЯ МЕХАНИКА СПЛОШНЫХ СРЕД"	"1999-6691"	"RUS"
"ВЫЧИСЛИТЕЛЬНЫЕ МЕТОДЫ И ПРОГРАММИРОВАНИЕ"	"1726-3522"	"RUS"
"JOURNAL OF COMPUTATIONAL TECHNOLOGIES|ВЫЧИСЛИТЕЛЬНЫЕ ТЕХНОЛОГИИ"	"1560-7534|2313-691X"	"RUS"
"RUSSIAN JOURNAL OF VIETNAMESE STUDIES - VYETNAMSKIYE ISSLEDOVANIYA|ВЬЕТНАМСКИЕ ИССЛЕДОВАНИЯ: ЭЛЕКТРОННЫЙ НАУЧНЫЙ ЖУРНАЛ"	"2618-9453"	"MUL|RUS"
"ГЕЛИОГЕОФИЗИЧЕСКИЕ ИССЛЕДОВАНИЯ"	"2304-7380"	"RUS"
"GEMATOLOGIYA I TRANSFUZIOLOGIYA|ГЕМАТОЛОГИЯ И ТРАНСФУЗИОЛОГИЯ"	"2411-3042|0234-5730"	"RUS"
"GENETIKA (RUSSIA)|ГЕНЕТИКА"	"0016-6758"	"RUS"
"GENIJ ORTOPEDII|ГЕНИЙ ОРТОПЕДИИ"	"1028-4427|2542-131X"	"ENG|RUS"
"GENES AND CELLS|ГЕНЫ И КЛЕТКИ"	"2500-2562|2313-1829"	"RUS"
"ГЕОГРАФИЧЕСКИЙ ВЕСТНИК"	"2079-7877"	"RUS"
"ГЕОГРАФИЯ И ПРИРОДНЫЕ РЕСУРСЫ"	"0206-1619"	"RUS"
"GEODEZIYA I KARTOGRAFIYA|ГЕОДЕЗИЯ И КАРТОГРАФИЯ"	"2587-8492|0016-7126"	"RUS"
"ГЕОИНФОРМАТИКА"	"1609-364X"	"RUS"
"ГЕОЛОГИЯ, ГЕОФИЗИКА И РАЗРАБОТКА НЕФТЯНЫХ И ГАЗОВЫХ МЕСТОРОЖДЕНИЙ"	"2413-5011"	"RUS"
"GEOLOGIYA I GEOFIZIKA|ГЕОЛОГИЯ И ГЕОФИЗИКА"	"0016-7886"	"RUS"
"GEOLOGIYA I GEOFIZIKA YUGA ROSSII|ГЕОЛОГИЯ И ГЕОФИЗИКА ЮГА РОССИИ"	"2221-3198|2686-7486"	"ENG|RUS"
"GEOLOGY AND MINERAL RESOURCES OF SIBERIA|ГЕОЛОГИЯ И МИНЕРАЛЬНО - СЫРЬЕВЫЕ РЕСУРСЫ СИБИРИ"	"2078-0575|2311-9594"	"RUS"
"GEOLOGIA NEFTI I GAZA|ГЕОЛОГИЯ НЕФТИ И ГАЗА"	"2587-8263|0016-7894"	"ENG|RUS"
"GEOLOGIYA RUDNYKH MESTOROZHDENIJ|ГЕОЛОГИЯ РУДНЫХ МЕСТОРОЖДЕНИЙ"	"0016-7770"	"RUS"
"ГЕОМАГНЕТИЗМ И АЭРОНОМИЯ"	"0016-7940"	"RUS"
"GEOMORFOLOGIYA|ГЕОМОРФОЛОГИЯ"	"2658-4530|0435-4281"	"RUS"
"GEORESURSY|ГЕОРЕСУРСЫ"	"1608-5043|1608-5078"	"ENG|RUS"
"GEOSFERNYE ISSLEDOVANIYA - GEOSPHERE RESEARCH|ГЕОСФЕРНЫЕ ИССЛЕДОВАНИЯ"	"2541-9943|2542-1379"	"ENG|RUS"
"ГЕОТЕКТОНИКА"	"0016-853X"	"RUS"
"ГЕОФИЗИКА"	"1681-4568"	"RUS"
"GEOPHYSICAL RESEARCH|ГЕОФИЗИЧЕСКИЕ ИССЛЕДОВАНИЯ"	"1818-3735|2311-9543"	"ENG|RUS"
"ГЕОФИЗИЧЕСКИЕ ПРОЦЕССЫ И БИОСФЕРА"	"1811-0045|2311-9578"	"RUS"
"GEOKHIMIYA|ГЕОХИМИЯ"	"0016-7525"	"RUS"
"ГЕОЭКОЛОГИЯ. ИНЖЕНЕРНАЯ ГЕОЛОГИЯ, ГИДРОГЕОЛОГИЯ, ГЕОКРИОЛОГИЯ"	"0869-7809"	"RUS"
"GIGIENA I SANITARIIA|ГИГИЕНА И САНИТАРИЯ"	"2412-0650|0016-9900"	"RUS"
"ГИДРОМЕТЕОРОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ И ПРОГНОЗЫ"	"2618-9631"	"RUS"
"GIDROTEKHNICHESKOE STROITEL'STVO|ГИДРОТЕХНИЧЕСКОЕ СТРОИТЕЛЬСТВО"	"0016-9714"	"RUS"
"GYNECOLOGY|ГИНЕКОЛОГИЯ"	"2079-5696|2079-5831"	"ENG|RUS"
"ГИРОСКОПИЯ И НАВИГАЦИЯ"	"0869-7035|2075-0927"	"RUS"
"ГЛОБАЛЬНАЯ ЭНЕРГИЯ"	"2782-6724"	"RUS"
"GORNAYA PROMYSHLENNOST|ГОРНАЯ ПРОМЫШЛЕННОСТЬ"	"1609-9192|2587-9138"	"CHI|RUS"
"MINING SCIENCE AND TECHNOLOGY(RUSSIAN FEDERATION)|ГОРНЫЕ НАУКИ И ТЕХНОЛОГИИ"	"2500-0632"	"ENG|RUS"
"MINING INFORMATIONAL AND ANALYTICAL BULLETIN|ГОРНЫЙ ИНФОРМАЦИОННО - АНАЛИТИЧЕСКИЙ БЮЛЛЕТЕНЬ (НАУЧНО - ТЕХНИЧЕСКИЙ ЖУРНАЛ)"	"0236-1493"	"ENG|RUS"
"GOSUDARSTVO I PRAVO|ГОСУДАРСТВО И ПРАВО"	"2713-0398|1026-9452"	"ENG|RUS"
"GOSUDARSTVO, RELIGIIA, TSERKOV' V ROSSII I ZA RUBEZHOM/STATE, RELIGION AND CHURCH IN RUSSIA AND WORLDWIDE|ГОСУДАРСТВО, РЕЛИГИЯ, ЦЕРКОВЬ В РОССИИ И ЗА РУБЕЖОМ"	"2073-7203|2073-7211"	"RUS"
"GRAVITATION AND COSMOLOGY|ГРАВИТАЦИЯ И КОСМОЛОГИЯ"	"0202-2893|1995-0721"	"ENG|RUS"
"ГРУДНАЯ И СЕРДЕЧНО - СОСУДИСТАЯ ХИРУРГИЯ"	"0236-2791|2410-8685"	"RUS"
"ДАЛЬНЕВОСТОЧНЫЙ МАТЕМАТИЧЕСКИЙ ЖУРНАЛ"	"1608-845X"	"RUS"
"ДАТЧИКИ И СИСТЕМЫ"	"1992-7185"	"RUS"
"ДВИГАТЕЛЕСТРОЕНИЕ"	"0202-1633"	"RUS"
"ДЕМОГРАФИЧЕСКОЕ ОБОЗРЕНИЕ"	"2409-2274"	"RUS"
"ДЕНЬГИ И КРЕДИТ"	"0130-3090"	"RUS"
"ДЕТСКАЯ ХИРУРГИЯ"	"1560-9510|2412-0677"	"RUS"
"ДЕТСКИЕ БОЛЕЗНИ СЕРДЦА И СОСУДОВ"	"1810-0686|2410-8855"	"RUS"
"ДЕТСКИЕ ИНФЕКЦИИ"	"2072-8107|2618-8139"	"RUS"
"DETSKIE CHTENIA|ДЕТСКИЕ ЧТЕНИЯ"	"2304-5817|2686-7052"	"ENG|RUS"
"DEFEKTOSKOPIYA|ДЕФЕКТОСКОПИЯ"	"0130-3082"	"RUS"
"ДЕФОРМАЦИЯ И РАЗРУШЕНИЕ МАТЕРИАЛОВ"	"1814-4632"	"RUS"
"DIALOG SO VREMENEM - DIALOGUE WITH TIME|ДИАЛОГ СО ВРЕМЕНЕМ"	"2073-7564"	"RUS"
"ДИСКРЕТНАЯ МАТЕМАТИКА"	"0234-0860|2305-3143"	"RUS"
"ДИСКРЕТНЫЙ АНАЛИЗ И ИССЛЕДОВАНИЕ ОПЕРАЦИЙ"	"1560-7542"	"RUS"
"ДИСКУРС - ПИ"	"1817-9568"	"RUS"
"ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ"	"0374-0641"	"RUS"
"DIFFERENCIALNIE URAVNENIA I PROTSESY UPRAVLENIA|ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ И ПРОЦЕССЫ УПРАВЛЕНИЯ"	"1817-2172"	"ENG|RUS"
"RUSSIAN JOURNAL OF EVIDENCE - BASED GASTROENTEROLOGY|ДОКАЗАТЕЛЬНАЯ ГАСТРОЭНТЕРОЛОГИЯ"	"2305-2260|2309-1363"	"ENG|RUS"
"ДОКЛАДЫ РОССИЙСКОЙ АКАДЕМИИ НАУК. МАТЕМАТИКА, ИНФОРМАТИКА, ПРОЦЕССЫ УПРАВЛЕНИЯ"	"2686-9543"	"RUS"
"ДОКЛАДЫ РОССИЙСКОЙ АКАДЕМИИ НАУК. НАУКИ О ЖИЗНИ"	"2686-7389"	"RUS"
"ДОКЛАДЫ РОССИЙСКОЙ АКАДЕМИИ НАУК. НАУКИ О ЗЕМЛЕ"	"2686-7397"	"RUS"
"ДОКЛАДЫ РОССИЙСКОЙ АКАДЕМИИ НАУК. ФИЗИКА, ТЕХНИЧЕСКИЕ НАУКИ"	"2686-7400"	"RUS"
"ДОКЛАДЫ РОССИЙСКОЙ АКАДЕМИИ НАУК. ХИМИЯ, НАУКИ О МАТЕРИАЛАХ"	"2686-9535"	"RUS"
"ДОКТОР.РУ"	"1727-2378"	"RUS"
"ДОСТИЖЕНИЯ НАУКИ И ТЕХНИКИ АПК"	"0235-2451"	"RUS"
"DREVNYAYA RUS - VOPROSY MEDIEVISTIKI|ДРЕВНЯЯ РУСЬ. ВОПРОСЫ МЕДИЕВИСТИКИ"	"2071-9590|2071-9574"	"RUS"
"EUROASIAN ENTOMOLOGICAL JOURNAL|ЕВРАЗИАТСКИЙ ЭНТОМОЛОГИЧЕСКИЙ ЖУРНАЛ"	"1684-4866"	"ENG|RUS"
"EZHEGODNIK FINNO - UGORSKIKH ISSLEDOVANII - YEARBOOK OF FINNO - UGRIC STUDIES|ЕЖЕГОДНИК ФИННО - УГОРСКИХ ИССЛЕДОВАНИЙ"	"2224-9443|2311-0333"	"MUL|RUS"
"ZANRY RECI|ЖАНРЫ РЕЧИ"	"2311-0740|2311-0759"	"RUS"
"WOMAN IN RUSSIAN SOCIETY|ЖЕНЩИНА В РОССИЙСКОМ ОБЩЕСТВЕ"	"1992-2892|2500-221X"	"RUS"
"ZHIDKIE KRISTALLY I IKH PRAKTICHESKOE ISPOL'ZOVANIE|ЖИДКИЕ КРИСТАЛЛЫ И ИХ ПРАКТИЧЕСКОЕ ИСПОЛЬЗОВАНИЕ"	"2499-9644|1991-3966"	"ENG|RUS"
"ЖИЛИЩНОЕ СТРОИТЕЛЬСТВО"	"0044-4472"	"RUS"
"JOURNAL OF OBSTETRICS AND WOMEN'S DISEASES|ЖУРНАЛ АКУШЕРСТВА И ЖЕНСКИХ БОЛЕЗНЕЙ"	"1683-9366|1684-0461"	"CHI|ENG|RUS"
"ZHURNAL ANALITICHESKOJ KHIMII|ЖУРНАЛ АНАЛИТИЧЕСКОЙ ХИМИИ"	"0044-4502"	"RUS"
"ZHURNAL BELORUSSKOGO GOSUDARSTVENNOGO UNIVERSITETA. MATEMATIKA. INFORMATIKA|ЖУРНАЛ БЕЛОРУССКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. МАТЕМАТИКА. ИНФОРМАТИКА"	"2520-6508|2617-3956"	"RUS"
"ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I.P. PAVLOVA|ЖУРНАЛ ВЫСШЕЙ НЕРВНОЙ ДЕЯТЕЛЬНОСТИ ИМ. И.П. ПАВЛОВА"	"0044-4677"	"RUS"
"ЖУРНАЛ ВЫЧИСЛИТЕЛЬНОЙ МАТЕМАТИКИ И МАТЕМАТИЧЕСКОЙ ФИЗИКИ"	"0044-4669"	"RUS"
"SKLIFOSOVSKY JOURNAL EMERGENCY MEDICAL CARE|ЖУРНАЛ ИМ. Н.В. СКЛИФОСОВСКОГО НЕОТЛОЖНАЯ МЕДИЦИНСКАЯ ПОМОЩЬ"	"2223-9022|2541-8017"	"RUS"
"JURNAL INFEKTOLOGII|ЖУРНАЛ ИНФЕКТОЛОГИИ"	"2072-6732|2499-9865"	"RUS"
"THE JOURNAL OF SOCIAL POLICY STUDIES/ZHURNAL ISSLEDOVANIY SOTSIAL'NOY POLITIKI|ЖУРНАЛ ИССЛЕДОВАНИЙ СОЦИАЛЬНОЙ ПОЛИТИКИ"	"1727-0634"	"RUS"
"ZHURNAL MIKROBIOLOGII EPIDEMIOLOGII I IMMUNOBIOLOGII|ЖУРНАЛ МИКРОБИОЛОГИИ, ЭПИДЕМИОЛОГИИ И ИММУНОБИОЛОГИИ"	"2686-7613|0372-9311"	"RUS"
"ZHURNAL NEVROLOGII I PSIKHIATRII IMENI S.S. KORSAKOVA|ЖУРНАЛ НЕВРОЛОГИИ И ПСИХИАТРИИ ИМ. C.C. КОРСАКОВА"	"1997-7298|2309-4729"	"RUS"
"ZHURNAL NEORGANICHESKOJ KHIMII|ЖУРНАЛ НЕОРГАНИЧЕСКОЙ ХИМИИ"	"0044-457X"	"RUS"
"ZHURNAL NOVAYA EKONOMICHESKAYA ASSOTSIATSIYA - JOURNAL OF THE NEW ECONOMIC ASSOCIATION|ЖУРНАЛ НОВОЙ ЭКОНОМИЧЕСКОЙ АССОЦИАЦИИ"	"2221-2264"	"MUL|RUS"
"ZHURNAL OBSHCHEI BIOLOGII|ЖУРНАЛ ОБЩЕЙ БИОЛОГИИ"	"0044-4596"	"RUS"
"ЖУРНАЛ ОБЩЕЙ ХИМИИ"	"0044-460X"	"RUS"
"ЖУРНАЛ ОРГАНИЧЕСКОЙ ХИМИИ"	"0514-7492"	"RUS"
"ЖУРНАЛ ПРИКЛАДНОЙ СПЕКТРОСКОПИИ"	"0514-7506"	"RUS"
"ЖУРНАЛ ПРИКЛАДНОЙ ХИМИИ"	"0044-4618"	"RUS"
"ЖУРНАЛ РАДИОЭЛЕКТРОНИКИ"	"1684-1719"	"RUS"
"ЖУРНАЛ РОССИЙСКОГО ПРАВА"	"1605-6590|2500-4298"	"RUS"
"JOURNAL OF SIBERIAN FEDERAL UNIVERSITY - BIOLOGY|ЖУРНАЛ СИБИРСКОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА. СЕРИЯ: БИОЛОГИЯ"	"1997-1389|2313-5530"	"RUS"
"JOURNAL OF SIBERIAN FEDERAL UNIVERSITY - HUMANITIES AND SOCIAL SCIENCES|ЖУРНАЛ СИБИРСКОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА. СЕРИЯ: ГУМАНИТАРНЫЕ НАУКИ"	"1997-1370|2313-6014"	"ENG|RUS"
"JOURNAL OF SIBERIAN FEDERAL UNIVERSITY - MATHEMATICS AND PHYSICS|ЖУРНАЛ СИБИРСКОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА. СЕРИЯ: МАТЕМАТИКА И ФИЗИКА"	"2313-6022|1997-1397"	"ENG|RUS"
"ЖУРНАЛ СИБИРСКОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА. СЕРИЯ: ТЕХНИКА И ТЕХНОЛОГИИ"	"1999-494X|2313-6057"	"RUS"
"JOURNAL OF SIBERIAN FEDERAL UNIVERSITY: CHEMISTRY|ЖУРНАЛ СИБИРСКОГО ФЕДЕРАЛЬНОГО УНИВЕРСИТЕТА. СЕРИЯ: ХИМИЯ"	"1998-2836|2313-6049"	"ENG|RUS"
"ЖУРНАЛ СОЦИОЛОГИИ И СОЦИАЛЬНОЙ АНТРОПОЛОГИИ"	"1029-8053|2306-6946"	"RUS"
"ЖУРНАЛ СТРЕСС - ФИЗИОЛОГИИ И БИОХИМИИ"	"1997-0838"	"RUS"
"ЖУРНАЛ СТРУКТУРНОЙ ХИМИИ"	"0136-7463|2542-0976"	"RUS"
"ЖУРНАЛ ТЕХНИЧЕСКОЙ ФИЗИКИ"	"0044-4642"	"RUS"
"ZHURNAL FIZICHESKOJ KHIMII|ЖУРНАЛ ФИЗИЧЕСКОЙ ХИМИИ"	"0044-4537"	"RUS"
"ZHURNAL FRONTIRNYKH ISSLEDOVANII - JOURNAL OF FRONTIER STUDIES|ЖУРНАЛ ФРОНТИРНЫХ ИССЛЕДОВАНИЙ"	"2500-0225"	"ENG|RUS"
"ZHURNAL EVOLYUTSIONNOI BIOKHIMII I FIZIOLOGII|ЖУРНАЛ ЭВОЛЮЦИОННОЙ БИОХИМИИ И ФИЗИОЛОГИИ"	"0044-4529"	"RUS"
"ZHURNAL EKSPERIMENTAL'NOI I TERORETICHESKOI FIZIKI|ЖУРНАЛ ЭКСПЕРИМЕНТАЛЬНОЙ И ТЕОРЕТИЧЕСКОЙ ФИЗИКИ"	"0044-4510"	"RUS"
"INDUSTRIAL LABORATORY. MATERIALS DIAGNOSTICS|ЗАВОДСКАЯ ЛАБОРАТОРИЯ. ДИАГНОСТИКА МАТЕРИАЛОВ"	"1028-6861|2588-0187"	"RUS"
"ЗАКОН"	"0869-4400"	"RUS"
"JOURNAL OF MINING INSTITUTE|ЗАПИСКИ ГОРНОГО ИНСТИТУТА"	"2411-3336|2541-9404"	"ENG|RUS"
"ZAPISKI ROSSIISKOGO MINERALOGICHESKOGO OBSHCHESTVA|ЗАПИСКИ РОССИЙСКОГО МИНЕРАЛОГИЧЕСКОГО ОБЩЕСТВА"	"2658-4352|0869-6055"	"ENG|RUS"
"ЗДОРОВЬЕ НАСЕЛЕНИЯ И СРЕДА ОБИТАНИЯ - ЗНИСО"	"2219-5238|2619-0788"	"RUS"
"ZDRAVOOKHRANENIE ROSSIISKOI FEDERATSII / MINISTERSTVO ZDRAVOOKHRANENIIA RSFSR|ЗДРАВООХРАНЕНИЕ РОССИЙСКОЙ ФЕДЕРАЦИИ"	"0044-197X|2412-0723"	"ENG|RUS"
"ЗЕМЛЕДЕЛИЕ"	"0044-3913"	"RUS"
"ЗЕРНОВОЕ ХОЗЯЙСТВО РОССИИ"	"2079-8725"	"RUS"
"ZOLOTOORDYNSKOE OBOZRENIE - GOLDEN HORDE REVIEW|ЗОЛОТООРДЫНСКОЕ ОБОЗРЕНИЕ"	"2308-152X|2313-6197"	"ENG|RUS"
"ZOOLOGICHESKII ZHURNAL|ЗООЛОГИЧЕСКИЙ ЖУРНАЛ"	"0044-5134"	"RUS"
"ЗООТЕХНИЯ"	"0235-2478"	"RUS"
"ИЗВЕСТИЯ АКАДЕМИИ НАУК. СЕРИЯ ХИМИЧЕСКАЯ"	"1026-3500|2658-784X"	"RUS"
"IZVESTIYA VUZOV - PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA|ИЗВЕСТИЯ ВУЗОВ. ПРИКЛАДНАЯ ХИМИЯ И БИОТЕХНОЛОГИЯ"	"2227-2925|2500-1558"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIJ. AVIATSIONNAYA TEKHNIKA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. АВИАЦИОННАЯ ТЕХНИКА"	"0579-2975"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ГЕОДЕЗИЯ И АЭРОФОТОСЪЕМКА"	"0536-101X|2618-7299"	"RUS"
"LESNOY ZHURNAL - FORESTRY JOURNAL|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЛЕСНОЙ ЖУРНАЛ"	"0536-1036"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. МАТЕМАТИКА"	"0021-3446|2076-4626"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. МАШИНОСТРОЕНИЕ"	"0536-1044"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ПИЩЕВАЯ ТЕХНОЛОГИЯ"	"0579-3009"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ПОВОЛЖСКИЙ РЕГИОН. ФИЗИКО - МАТЕМАТИЧЕСКИЕ НАУКИ"	"2072-3040"	"RUS"
"IZVESTIYA VUZOV. POROSHKOVAYA METALLURGIYA I FUNKTSIONAL'NYE POKRYTIYA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ПОРОШКОВАЯ МЕТАЛЛУРГИЯ И ФУНКЦИОНАЛЬНЫЕ ПОКРЫТИЯ"	"1997-308X|2412-8767"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ПРИБОРОСТРОЕНИЕ"	"0021-3454|2500-0381"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIY. PRIKLADNAYA NELINEYNAYA DINAMIKA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ПРИКЛАДНАЯ НЕЛИНЕЙНАЯ ДИНАМИКА"	"0869-6632|2542-1905"	"ENG|RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIJ. RADIOFIZIKA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. РАДИОФИЗИКА"	"0021-3462"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ РОССИИ. РАДИОЭЛЕКТРОНИКА"	"1993-8985|2658-4794"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. СЕВЕРО - КАВКАЗСКИЙ РЕГИОН. СЕРИЯ: ЕСТЕСТВЕННЫЕ НАУКИ"	"1026-2237"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII KHIMIYA I KHIMICHESKAYA TEKHNOLOGIYA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. СЕРИЯ: ХИМИЯ И ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ"	"0579-2991|2500-3070"	"ENG|RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. СТРОИТЕЛЬСТВО"	"0536-1052"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII, GORNYI ZHURNAL|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ФИЗИКА"	"0021-3411"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIJ. TSVETNAYA METALLURGIYA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЦВЕТНАЯ МЕТАЛЛУРГИЯ"	"0021-3438|2412-8783"	"RUS"
"IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIJ. CHERNAYA METALLURGIYA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЧЕРНАЯ МЕТАЛЛУРГИЯ"	"2410-2091|0368-0797"	"ENG|RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЭЛЕКТРОМЕХАНИКА"	"0136-3360"	"RUS"
"ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЭЛЕКТРОНИКА"	"1561-5405|2587-9960"	"RUS"
"IZVESTIYA WYSSHIKH UCHEBNYKH ZAWEDENIY, YADERNAYA ENERGETIKA|ИЗВЕСТИЯ ВЫСШИХ УЧЕБНЫХ ЗАВЕДЕНИЙ. ЯДЕРНАЯ ЭНЕРГЕТИКА"	"0204-3327"	"ENG|RUS"
"IZVESTIYA INSTITUTA MATEMATIKI I INFORMATIKI UDMURTSKOGO GOSUDARSTVENNOGO UNIVERSITETA|ИЗВЕСТИЯ ИНСТИТУТА МАТЕМАТИКИ И ИНФОРМАТИКИ УДМУРТСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА"	"2226-3594|2410-1737"	"ENG|RUS"
"BULLETIN OF IRKUTSK STATE UNIVERSITY, SERIES MATHEMATICS|ИЗВЕСТИЯ ИРКУТСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: МАТЕМАТИКА"	"1997-7670|2541-8785"	"ENG|RUS"
"ИЗВЕСТИЯ ИРКУТСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА.СЕРИЯ: НАУКИ О ЗЕМЛЕ"	"2073-3402"	"RUS"
"ИЗВЕСТИЯ НИЖНЕВОЛЖСКОГО АГРОУНИВЕРСИТЕТСКОГО КОМПЛЕКСА: НАУКА И ВЫСШЕЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ"	"2071-9485"	"RUS"
"ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. МЕХАНИКА ЖИДКОСТИ И ГАЗА"	"1024-7084"	"RUS"
"ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. МЕХАНИКА ТВЕРДОГО ТЕЛА"	"1026-3519"	"RUS"
"IZVESTIIA AKADEMII NAUK. SERIIA BIOLOGICHESKAIA / ROSSIISKAIA AKADEMIIA NAUK|ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. СЕРИЯ БИОЛОГИЧЕСКАЯ"	"1026-3470"	"RUS"
"IZVESTIYA ROSSIISKOI AKADEMII NAUK. SERIYA GEOGRAFICHESKAYA|ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. СЕРИЯ ГЕОГРАФИЧЕСКАЯ"	"2587-5566|2658-6975"	"RUS"
"ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. СЕРИЯ ЛИТЕРАТУРЫ И ЯЗЫКА"	"1605-7880|2413-7715"	"RUS"
"ИЗВЕСТИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК. СЕРИЯ МАТЕМАТИЧЕСКАЯ"	"1607-0046|2587-5906"	"RUS"
